prompt,a,b,Category,bin,prompt_format
Milwaukee is South of Ali. Ali turns right. Milwaukee is BLANK Ali.,South of,West of,geocentric_distant,4,target
Milwaukee is East of Ali. Ali turns right. Milwaukee is BLANK Ali.,East of,South of,geocentric_distant,1,target
Milwaukee is West of Ali. Ali turns right. Milwaukee is BLANK Ali.,West of,North of,geocentric_distant,2,target
The painting is North of Ali. Ali turns left. The painting is BLANK Ali.,North of,West of,geocentric_near,3,target
The painting is South of Ali. Ali turns left. The painting is BLANK Ali.,South of,East of,geocentric_near,4,target
The painting is East of Ali. Ali turns left. The painting is BLANK Ali.,East of,North of,geocentric_near,1,target
The painting is West of Ali. Ali turns left. The painting is BLANK Ali.,West of,South of,geocentric_near,2,target
Milwaukee is North of Ali. Ali turns left. Milwaukee is BLANK Ali.,North of,West of,geocentric_distant,4,target
Milwaukee is South of Ali. Ali turns left. Milwaukee is BLANK Ali.,South,East of,geocentric_distant,1,target
Milwaukee is East of Ali. Ali turns left. Milwaukee is BLANK Ali.,East of,North of,geocentric_distant,2,target
Milwaukee is West of Ali. Ali turns left. Milwaukee is BLANK Ali.,West of,South of,geocentric_distant,3,target
Ali is directly South of Milwaukee. Ali walks West. Ali is BLANK Milwaukee.,Southwest,Northeast,geocentric_distant,1,target
Ali is directly North of Milwaukee. Ali walks East. Ali is BLANK Milwaukee.,Northeast,Southwest,geocentric_distant,2,target
Ali is South of Milwaukee. Ali walks North. Ali is getting BLANK Milwaukee.,closer to,further from,geocentric_distant,3,target
Ali is South of Milwaukee. Ali walks South. Ali is getting BLANK Milwaukee.,further from,closer to,geocentric_distant,4,target
Ali is East of Milwaukee. Ali walks West. Ali is getting BLANK Milwaukee.,closer to,further from,geocentric_distant,1,target
Ali is East of Milwaukee. Ali walks East. Ali is getting BLANK Milwaukee.,further from,closer to,geocentric_distant,2,target
Milwaukee is West of Ali. Ali walks East. Ali is getting BLANK Milwaukee.,further from,closer to,geocentric_distant,3,target
Milwaukee is West of Ali. Ali walks West. Ali is getting BLANK Milwaukee.,closer to,further from,geocentric_distant,4,target
The painting is in front of Ali. Ali turns right. The painting is BLANK Ali.,left of,right of,egocentric_near,1,target
The painting is left of Ali. Ali turns right. The painting is BLANK Ali.,behind,in front of,egocentric_near,2,target
The painting is right of Ali. Ali turns right. The painting is BLANK Ali.,in front of,behind,egocentric_near,3,target
The painting is behind Ali. Ali turns right. The painting is BLANK Ali.,right of,left of,egocentric_near,4,target
The painting is in front of Ali. Ali turns left. The painting is BLANK Ali.,right of,left of,egocentric_near,2,target
The painting is left of Ali. Ali turns left. The painting is BLANK Ali.,in front of,behind,egocentric_near,3,target
The painting is right of Ali. Ali turns left. The painting is BLANK Ali.,behind,in front of,egocentric_near,4,target
The painting is behind Ali. Ali turns left. The painting is BLANK Ali.,left of,right of,egocentric_near,1,target
The wine glass is on the table. The wine glass falls over. The wine spills on the BLANK.,table,floor,action_follows,4,target
The wine glass is on the table. Ali bumps the lamp. The wine BLANK.,doesn't spill,spills,action_nonfollows,2,target
The box is in the bin. Ali moves the box. The bin BLANK.,doesn't move,moves,action_nonfollows,3,target
The box is in the bin. Ali moves the bin. The box BLANK.,moves,doesn't move,action_follows,4,target
The ball is in the box. Ali moves the box. The ball BLANK.,moves,doesn't move,action_follows,1,target
The ball is five feet from the box. Ali moves the box. The ball BLANK.,doesn't move,moves,action_nonfollows,2,target
The ball is touching the box. Ali pushes the box. The ball BLANK.,moves,doesn't move,action_follows,3,target
The ball is five feet from the box. Ali pushes the box. The ball BLANK.,doesn't move,moves,action_nonfollows,4,target
The ball is on top of the box. Ali pushes the box. The ball BLANK.,moves,doesn't move,action_follows,1,target
The ball is inside the box. Ali pushes the box. The ball BLANK.,moves,doesn't move,action_follows,2,target
The ball and the box are on the table. The box falls off the table. The box is BLANK the ball.,lower than,higher than,relative_pos,3,target
The ball and the box are on the table. Ali picks up the ball. The ball is BLANK the box.,higher than,lower than,relative_pos,4,target
The ball and the box are on the floor. Ali picks up the ball. The ball is BLANK the box.,higher than,lower than,relative_pos,1,target
The ball and the box are on top of the ramp. The ball rolls down the ramp. The ball is BLANK the box.,lower than,higher than,relative_pos,2,target
The tennis ball is touching the bowling ball. Ali rolls the bowling ball. The bowling ball is BLANK the tennis ball.,further from,closer to,relative_pos,3,target
The tennis ball is far from the bowling ball. Ali rolls the bowling ball. The tennis ball is BLANK the bowling ball.,closer to,further from,relative_pos,4,target
Ali is holding the tennis ball and the ping pong ball is on the floor. Ali picks up the ping pong ball. The ping pong ball is BLANK the tennis ball.,closer to,further from,relative_pos,1,target
Ali is holding the tennis ball and the ping pong ball. Ali drops the ping pong ball. The ping pong ball is BLANK the tennis ball.,further from,closer to,relative_pos,2,target
The tennis ball is at the top of the ramp and the bowling ball is at the bottom of the ramp. Ali rolls the tennis ball down the ramp. The tennis ball is getting BLANK the bowling ball.,closer to,further from,relative_pos,3,target
The tennis ball is at the top of ther amp and the bowling ball is at the bottom of the ramp. Ali rolls the bowling ball up the ramp. The bowling ball is getting BLANK the tennis ball.,closer to,further from,relative_pos,4,target
The ball is next to the box. Ali puts the ball inside the box. The ball is BLANK the box.,smaller than,larger than,relative_pos,1,target
The box is next to the ball. Ali puts the box inside the ball. the ball is BLANK the box.,larger than,smaller than,relative_pos,2,target
The box is next to the ball. Ali puts the ball inside the box. The ball is BLANK the box.,touching,not touching,relative_pos,3,target
The ball is inside the box. Ali picks up the ball. The ball is BLANK the box.,not touching,touching,relative_pos,4,target
The box is next to the desk. Ali stacks the box on the desk. The box is BLANK the desk.,above,below,relative_pos,1,target
The box is next to the desk. Ali stacks the desk on the box. The box is BLANK the desk.,below,above,relative_pos,2,target
The glass is on the table. Ali bumps the glass off the table. The glass is BLANK the table.,below,above,relative_pos,3,target
The glass is on the floor. Ali sets the glass on the table. The glass is BLANK the table.,above,below,relative_pos,4,target
The box is in front of the ball. Ali pushes the box into the ball. The ball is BLANK the box.,touching,not touching,relative_pos,1,target
The box is in front of the ball. Ali pushes the box away from the ball. The ball is BLANK the box.,not touching,touching,relative_pos,2,target
The ball is under the box. The ball moves right. The ball is BLANK the box.,lower than,higher than,action_nonfollows,3,target
The ball is above the box. The ball moves right. The ball is BLANK the box.,higher than,lower than,action_nonfollows,4,target
Ali is behind the wagon. Ali pushes on the wagon. The wagon BLANK.,moves,doesn't move,action_follows,1,target
Ali is in front of the wagon. Ali pulls on the wagon. The wagon BLANK.,moves,doesn't move,action_follows,2,target
The box is floating in the water. Ali puts a bowling ball in the box. The box BLANK.,sinks,floats,action_follows,3,target
The box is floating in the water. Ali puts a tennis ball in the box. The box BLANK.,floats,sinks,action_nonfollows,4,target
The ball is on the table. Ali tilts the table. The ball BLANK.,rolls,stays still,action_follows,1,target
The seesaw is balanced. Ali tilts the right side of the seesaw. The left side BLANK.,goes up,goes down,action_follows,2,target
There is a bowling ball on the right side of the seesaw. Ali puts a tennis ball on the left side of the seesaw. The left side BLANK.,stays up,goes down,action_nonfollows,3,target
There is a bowling ball on the right side of the seesaw. Ali picks the bowling ball up. The right side BLANK.,goes up,stays down,action_follows,4,target
The book is on the shelf. Ali bumps the shelf. The book BLANK the shelf.,falls off,stays on,action_follows,1,target
The wagon is on top of the hill. Ali pushes the wagon. The wagon BLANK.,rolls,stays still,action_follows,2,target
The ping pong ball is on the floor. Ali rolls a tennis ball into the ping pong ball. The ping pong ball BLANK.,moves,doesn't move,action_follows,3,target
The bowling ball is on the floor. Ali rolls a tennis ball into the bowling ball. The bowling ball BLANK.,doesn't move,moves,action_nonfollows,4,target
The tennis ball is next to the bowling ball. Ali throws the tennis ball. The tennis ball is BLANK the bowling ball.,far from,close to,action_follows,1,target
Ali is in the wagon. Ali pulls on the wagon. The wagon BLANK.,doesn't move,moves,action_nonfollows,2,target
Ali is in the wagon. Ali pushes on the wagon. The wagon BLANK.,doesn't move,moves,action_nonfollows,3,target
The room is dark. Ali turns on the light. The room gets BLANK.,lighter,darker,state_follows,4,target
The room is dark. Ali blows out the candle. The room gets BLANK.,darker,lighter,state_follows,1,target
The room is bright. Ali turns off the lights. The room is BLANK.,dark,bright,state_follows,2,target
The room is bright. Ali turns on a light. The room gets BLANK.,brighter,darker,state_follows,3,target
Ali is standing on carpet. Ali drops the glass. The glass BLANK.,doesn't break,breaks,state_follows,4,target
Ali is standing on tile. Ali drops the glass. The glass BLANK.,breaks,doesn't break,state_follows,1,target
The glass is on the table. Ali overfills the glass. The table is BLANK.,wet,dry,state_follows,1,target
The glass is on the table. Ali fills the glass halfway. The table is BLANK.,dry,wet,state_nonfollows,3,target
The empty glass is on the table. Ali fills the sink halfway. The glass is BLANK.,dry,wet,state_nonfollows,4,target
The empty glass is on the table. Ali knocks the glass over. The table is BLANK.,dry,wet,state_nonfollows,1,target
The full glass is on the table. Ali knocks the glass over. The table is BLANK.,wet,dry,state_nonfollows,2,target
The window is in front of Ali. Ali throws the baseball forward. The window BLANK.,breaks,doesn't break,state_follows,3,target
The window is behind Ali. Ali throws the baseball forward. The window BLANK.,doesn't break,breaks,state_nonfollows,4,target
The window is behind Ali and the wall is in front of Ali. Ali throws the baseball at the wall. The window BLANK.,doesn't break,breaks,state_nonfollows,1,target
The cup is empty. Ali pours water in the cup. The cup is BLANK.,wet,dry,state_follows,2,target
The cup is empty. Ali pours sand in the cup. The cup is BLANK.,dry,wet,state_nonfollows,3,target
The wall was painted 5 minutes ago. Ali touches the wall. Ali's hand is BLANK.,painted,clean,state_follows,4,target
The wall was painted 1 month ago. Ali touches the wall. Ali's hand is BLANK.,clean,painted,state_nonfollows,1,target
The stove is on high heat. Ali puts his hand on the stove. Ali's hand is BLANK.,burnt,not burnt,state_follows,2,target
The stove is off. Ali puts his hand on the stove. Ali's hand is BLANK.,not burnt,burnt,state_nonfollows,3,target
The paper is in one piece. Ali rips the paper. The paper is in BLANK.,two pieces,one piece,state_follows,1,target
The paper is in one piece. Ali folds the paper. The paper is in BLANK.,one piece,two pieces,state_nonfollows,2,target
The paper is in two pieces. Ali tapes the pieces together. The paper is in BLANK.,one piece,two pieces,state_follows,2,target
The glass and the cup are on the table. Ali pushes the cup off the table. The glass BLANK.,doesn't break,breaks,state_nonfollows,2,target
The glass is on the table and the cup is on the floor. Ali picks up the glass. The cup BLANK.,moves,doesn't move,action_nonfollows,4,target
Ali is holding the book. Ali drops the book. The book BLANK.,doesn't break,breaks,state_nonfollows,1,target
Ali is in front of the statue. Ali turns around. Ali is BLANK.,in front of the statue,behind the statue,action_nonfollows,1,target
Ali is behind the statue. Ali turns around. Ali is BLANK.,behind the statue,in front of the statue,action_nonfollows,3,target
The ball is close to Ali. Ali throws the box. The ball is BLANK Ali.,close to,far from,action_nonfollows,4,target
The box is close to Ali. Ali throws the ball. The box is BLANK Ali.,close to,far from,action_nonfollows,1,target
The box is above the tunnel. Ali goes under the tunnel. The box is BLANK the tunnel.,above,below,action_nonfollows,2,target
The box is below the bridge. Ali goes over the bridge. The box is BLANK the bridge.,below,above,action_nonfollows,1,target
The light is unplugged. Ali flips the lightswitch. The light BLANK.,stays off,turns on,state_nonfollows,4,target
The ice cube and the banana are in the fridge. Ali takes the banana out of the fridge. The ice cube BLANK.,doesn't melt,melts,state_nonfollows,1,target
The bowling ball is close to Ali. Ali throws the bowling ball. The bowling ball is BLANK Ali.,close to,far from,action_nonfollows,1,target
The baseball is close to Ali. Ali throws the baseball. The baseball is BLANK Ali.,far from,close to,action_follows,3,target
The ball is at the bottom of the ramp. Ali pushes the ball. The ball is at the BLANK of the ramp.,bottom,top of,action_nonfollows,4,target
The ball is under the box. Ali pushes the ball forward. The ball is BLANK the box.,under,above,action_nonfollows,2,target
The ball is resting on top of the box. Ali pushes the box forward. The ball is BLANK the box.,on top of,below,action_nonfollows,2,target
The ball is inside the box. Ali pushes the box forward. The ball is BLANK the box.,inside,outside,action_nonfollows,3,target
The glass is on the table. Ali bumps the glass off the table. The glass BLANK.,breaks,doesn't break,state_follows,4,target
The ice cube is on the floor. Ali moves the ice cube to the counter. The ice cube gets BLANK.,warmer,colder,state_nonfollows,1,target
The brick is on the table. Ali bumps the brick off the table. The brick BLANK.,doesn't break,breaks,state_nonfollows,2,target
The wine glass is on the floor. Ali touches the glass. The glass BLANK.,doesn't break,breaks,state_nonfollows,3,target
The icecube is in the freezer. Ali puts the icecube in the frying pan. The icecube BLANK.,melts,doesn't melt,state_follows,4,target
The icecube is in the freezer. Ali puts the icecube in the snow. The icecube BLANK.,doesn't melt,melts,state_nonfollows,1,target
The water is in the bucket. Ali puts the bucket in the freezer. The water BLANK.,freezes,doesn't freeze,state_follows,2,target
The apple is in the bucket. Ali puts the apple in the refrigerator. The apple gets BLANK.,colder,warmer,state_follows,3,target
The ice cream is on the table. Ali puts the ice cream in the freezer. The ice cream gets BLANK.,colder,warmer,state_follows,4,target
Ali is to Mark's right. Ali turns around. Ali is to Mark's BLANK.,right,left,two_refs_egocentric,1,target
Ali is to Mark's right. Mark turns around. Ali is to Mark's BLANK.,left,right,two_refs_egocentric,4,target
The painting is to Ali's right. The painting is moved right. The painting is to Ali's BLANK.,right,left,egocentric_near,3,target
The painting is to Ali's left. The painting is moved left. The painting is to Ali's BLANK.,right,left,egocentric_near,4,target
Ali is facing away from Mark. Ali turns around. Ali is facing BLANK Mark.,towards,away from,two_refs_egocentric,1,target
Ali is facing towards Mark. Ali turns around. Ali is facing BLANK Mark.,away,towards,two_refs_egocentric,2,target
Ali and Mark are facing eachother. Mark turns around. Ali is facing BLANK Mark.,towards,away from,two_refs_egocentric,3,target
Ali and Mark are facing away from eachother. Mark turns around. Mark is facing BLANK Ali.,towards,away from,two_refs_egocentric,4,target
Mark and Ali are facing away from eachother. Mark turns around. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,2,target
Ali is to the right of Mark. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,1,target
Mark is to the left of Ali. Mark looks to his left and Ali looks to his left. Ali is facing BLANK Mark.,towards,away from,two_refs_egocentric,4,target
Mark is to the left of Ali. Mark looks to his left and Ali looks to his right. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,3,target
Ali is to the right of Mark. Mark looks to his right. Mark BLANK Ali.,see,can't see,two_refs_egocentric,1,target
Ali is to the right of Mark. Mark looks to his left. Mark BLANK Ali.,can't see,sees,two_refs_egocentric,2,target
Mark is in front of Ali. Ali turns around. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,3,target
Mark is behind Ali. Ali turns around. Ali is facing BLANK Mark.,towards,away from,two_refs_egocentric,4,target
Mark and Ali are both facing right. Ali turns to his left. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,1,target
Mark and Ali are both facing left. Ali turns to his right. Ali is facing BLANK Mark.,away from,towards,two_refs_egocentric,2,target
Mark is facing right and Ali is facing left. Mark turns to his left. Mark is facing BLANK Ali.,towards,away from,two_refs_egocentric,3,target
Mark is in front of Ali. Mark walks forwards. Mark is getting BLANK Ali.,further from,closer to,two_refs_egocentric,4,target
Mark is behind Ali. Mark walks backwards. Mark is getting BLANK Ali.,further from,closer to,two_refs_egocentric,1,target
Mark is behind Ali. Mark walks fowards. Mark is getting BLANK Ali.,closer to,further from,two_refs_egocentric,2,target
Mark is facing away from Ali. Ali turns around. Mark is facing BLANK Ali.,away,towards,two_refs_egocentric,3,target
Mark is facing East and Ali is facing West. Mark turns around. Mark is facing BLANK.,West,East,two_refs_geocentric,4,target
Mark is directly North of Milwaukee and Ali is directly South of Milwaukee. Mark is BLANK of Ali.,North,South,two_refs_geocentric,1,target
Mark is directly East of Paris and Ali is directly West of Paris. Mark is BLANK of Ali.,East,West,two_refs_geocentric,2,target
Mark is directly East of Paris and Ali is directly West of Paris. Ali is BLANK of Mark.,West,East,two_refs_geocentric,3,target
Mark is directly North of Paris and Ali is directly East of Paris. Ali is BLANK of Mark.,Southeast,Northwest,two_refs_geocentric,4,target
Mark is directly South of Paris and Ali is directly West of Paris. Mark is BLANK of Ali.,Southeast,Northwest,two_refs_geocentric,1,target
Mark is East of Ali facing East. Ali is West of Mark facing West. Mark is facing BLANK Ali.,away from,towards,two_refs_geocentric,2,target
Mark is West of Ali facing East. Ali is East of Mark facing West. Mark is facing BLANK Ali.,towards,away from,two_refs_geocentric,3,target
Mark is East of Ali. Mark turns right. Mark is BLANK of Ali.,East,West,two_refs_geocentric,4,target
Milwaukee is North of Mark. Mark goes East. Milwaukee is BLANK of Mark.,Northwest,Southeast,two_refs_geocentric,1,target
Milwaukee is South of Mark. Mark goes West. Milwaukee is BLANK of Mark.,Southeast,Northwest,two_refs_geocentric,2,target
Milwaukee is South of Mark. Mark goes West. Mark is BLANK of Milwaukee.,Northest,Southeast,two_refs_geocentric,3,target
Mark is facing North and Ali is facing East. Mark turns 90 degrees to his right. Mark and Ali are facing BLANK.,the same direction,different directions,two_refs_geocentric,4,target
Mark is facing South and Ali is facing East. Mark turns 90 degrees to his right. Mark and Ali are facing BLANK.,the same direction,different directions,two_refs_geocentric,1,target
Mark is facing East and Ali is facing West. Mark turns 180 degrees. Mark and Ali are facing BLANK.,the same direction,different directions,two_refs_geocentric,2,target
Mark and Ali are both directly East of Budapest. Mark walks North. Ali is BLANK of Mark.,South,North,two_refs_geocentric,3,target
Mark and Ali are both directly West of Budapest. Mark walks South. Ali is BLANK of Mark.,North,South,two_refs_geocentric,4,target
Mark is East of Budapest and Ali is West of Budapest. Mark walks directly towards Ali. Mark is heading BLANK.,West,East,two_refs_geocentric,1,target
Mark is East of Budapest and Ali is West of Budapest. Ali walks directly towards Mark. Ali is heading BLANK.,East,West,two_refs_geocentric,2,target
Mark is North of Budapest and Ali is South of Budapest. Ali walks directly away from Mark. Ali is walking BLANK.,South,North,two_refs_geocentric,3,target
Mark is facing East. Mark turns 90 degrees to his right. Mark is facing BLANK.,South,North,geocentric_near,4,target
Mark is facing South. Mark turns 90 degrees to his right. Mark is facing BLANK.,West,East,geocentric_near,1,target
Mark is facing West. Mark turns 90 degrees to his right. Mark is facing BLANK.,North,South,geocentric_near,2,target
Mark is facing North. Mark turns 90 degrees to his right. Mark is facing BLANK.,East,West,geocentric_near,3,target
The statue is North of Ali. Ali walks East. The statue is BLANK of Ali.,North of,West of,geocentric_near,4,target
The statue is North of Ali. Ali walks West. The statue is BLANK of Ali.,North of,East of,geocentric_near,1,target
The statue is South of Ali. Ali walks East. The statue is BLANK of Ali.,South of,West of,geocentric_near,2,target
The statue is East of Ali. Ali walks North. The statue is BLANK of Ali.,East of,South of,geocentric_near,3,target
The statue is East of Ali. Ali walks South. The statue is BLANK of Ali.,East of,North of,geocentric_near,4,target
The statue is West of Ali. Ali walks North. The statue is BLANK of Ali.,West of,South of,geocentric_near,1,target
The statue is West of Ali. Ali walks South. The statue is BLANK of Ali.,West of,North of,geocentric_near,2,target
The glass is on the table. Ali bumps the table. The glass BLANK.,breaks,doesn't break,state_follows,3,target
The glass is on the floor. Ali bumps the table. The glass BLANK.,doesn't break,breaks,state_nonfollows,4,target
The soup is on the stove. Ali turns off the stove. The soup gets BLANK.,colder,warmer,state_follows,1,target
The soup is on the stove. Ali turns on the stove. The soup gets BLANK.,warmer,colder,state_follows,2,target
The soup is on the table. Ali turns on the stove. The soup gets BLANK.,colder,warmer,state_nonfollows,3,target
The book is on the table. Ali moves the table. The book BLANK.,moves,doesn't move,action_follows,4,target
The book is under the table. Ali moves the table. The book BLANK.,doesn't move,moves,action_nonfollows,1,target
The book is on the table. Ali moves the book. The table BLANK.,doesn't move,moves,action_follows,2,target
The book is under the table. Ali moves the book. The table BLANK.,doesn't move,moves,action_nonfollows,3,target
